128-128-128,128-128-64,128-32-128,64-128-32,64-64-32,64-32-64,128-128-32,128-64-64,32-64-32,32-128-64,128-64-32,64-32-128,128-32-64,64-128-64,128-64-128,32-128-128,64-128-128,32-64-64,128-32-32,32-128-32,64-64-128,64-64-64,64-32-32,32-32-32,32-64-128,32-32-128,32-32-64
0,42.860001,19.74,45.900002,41,0,43.18,27,21.4,35.040001,26.299999,30.799999,21.24,43.720001,28.040001,41.599998,49.759998,0,18.540001,44.34,35.459999,30.799999,0,0,30.82,29.6,0
42.860001,0,20,34.959999,15.98,0,41.080002,24.780001,0,36.759998,22.24,21.26,20.9,35.060001,26.18,37.240002,48.360001,21.299999,20.4,34.759998,24.08,23.6,15.234042,30,27.08,21.700001,0
19.74,20,0,20.48,0,0,14.84,11.14,0,22.82,11.02,15.416667,8.3800001,26.459999,9.6000004,28.32653,29.780001,0,9.8000002,24.440001,21,5.2399998,0,0,19.632652,12.44,0
45.900002,34.959999,20.48,0,0,0,40.959999,22.16,0,32.880001,20.224489,14.8,19.795918,31.68,22.780001,35.599998,35.599998,0,25.219999,24.18,23.700001,20.52,0,8.6400003,23.559999,18.98,10.7
41,15.98,0,0,0,0,0,0,0,26.145834,0,13.166667,11.74,0,0,27.959999,13.64,0,0,0,0,0,0,0,0,16.440001,0
0,0,0,0,0,0,12.1,8.3800001,0,0,5.2199998,0,0,10.26,0,0,0,0,0,0,0,5.2399998,0,0,0,0,0
43.18,41.080002,14.84,40.959999,0,12.1,0,23.32,0,38.34,18.74,19.379999,16.219999,44.439999,26.360001,41.779999,47.740002,21.16,15.84,38.099998,27.799999,22.139999,0,11.66,26.4,21.5,11.72
27,24.780001,11.14,22.16,0,8.3800001,23.32,0,0,25.48,14.34,16,13.74,26.940001,19.059999,31.120001,32.560001,0,10.66,25,17.6,16.48,6.5999999,0,18.700001,13.92,0
21.4,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14.38,39,0,0,0,8.5799999,0,0,0,0,0,0
35.040001,36.759998,22.82,32.880001,26.145834,0,38.34,25.48,0,0,25.280001,23.959999,22.55102,32.32,23.08,36.779999,30.459999,15.42,20.87755,28.379999,27.18,25.285715,0,0,24.08,19.58,12.82
26.299999,22.24,11.02,20.224489,0,5.2199998,18.74,14.34,0,25.280001,0,14.34,14.46,28.142857,13.64,28.68,31.280001,0,10.92,23.5,17.4,18.02,0,0,19.92,10.9,0
30.799999,21.26,15.416667,14.8,13.166667,0,19.379999,16,0,23.959999,14.34,0,10.5,22.059999,13.54,30.139999,22.940001,0,14.24,22.559999,17.76,14.96,6.54,0,20.9,15.64,0
21.24,20.9,8.3800001,19.795918,11.74,0,16.219999,13.74,0,22.55102,14.46,10.5,0,21.021276,11.26,32.139999,28.940001,11.24,8.5799999,20.9,17.139999,0,3.98,0,16.183674,13.7,0
43.720001,35.060001,26.459999,31.68,0,10.26,44.439999,26.940001,25,32.32,28.142857,22.059999,21.021276,0,26.959999,35.939999,37.540001,21,21.379999,29.200001,25.48,15.16,0,0,24.620001,20.32,0
28.040001,26.18,9.6000004,22.780001,0,0,26.360001,19.059999,0,23.08,13.64,13.54,11.26,26.959999,0,30.559999,28.040001,0,11.1,23.42,18.48,15.48,0,0,15.22,19.34,0
41.599998,37.240002,28.32653,35.599998,27.959999,0,41.779999,31.120001,14.38,36.779999,28.68,30.139999,32.139999,35.939999,30.559999,0,40.720001,24.74,28.120001,36.900002,32.639999,33.099998,0,18.120001,32.139999,24.360001,0
49.759998,48.360001,29.780001,35.599998,13.64,0,47.740002,32.560001,39,30.459999,31.280001,22.940001,28.940001,37.540001,28.040001,40.720001,0,0,26.379999,32.139999,27.719999,24.219999,11.94,0,28.9,24.540001,0
0,21.299999,0,0,0,0,21.16,0,0,15.42,0,0,11.24,21,0,24.74,0,0,8.4897957,0,0,0,0,0,0,13.102041,10.7
18.540001,20.4,9.8000002,25.219999,0,0,15.84,10.66,0,20.87755,10.92,14.24,8.5799999,21.379999,11.1,28.120001,26.379999,8.4897957,0,24.42,17.540001,12.4,0,0,20.102041,13.765958,0
44.34,34.759998,24.440001,24.18,0,0,38.099998,25,0,28.379999,23.5,22.559999,20.9,29.200001,23.42,36.900002,32.139999,0,24.42,0,23.48,20.142857,0,0,24.42,21.4,0
35.459999,24.08,21,23.700001,0,0,27.799999,17.6,8.5799999,27.18,17.4,17.76,17.139999,25.48,18.48,32.639999,27.719999,0,17.540001,23.48,0,13.08,0,0,21.139999,18.700001,0
30.799999,23.6,5.2399998,20.52,0,5.2399998,22.139999,16.48,0,25.285715,18.02,14.96,0,15.16,15.48,33.099998,24.219999,0,12.4,20.142857,13.08,0,0,0,17.755102,16.08,0
0,15.234042,0,0,0,0,0,6.5999999,0,0,0,6.54,3.98,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
0,30,0,8.6400003,0,0,11.66,0,0,0,0,0,0,0,0,18.120001,0,0,0,0,0,0,0,0,0,0,0
30.82,27.08,19.632652,23.559999,0,0,26.4,18.700001,0,24.08,19.92,20.9,16.183674,24.620001,15.22,32.139999,28.9,0,20.102041,24.42,21.139999,17.755102,0,0,0,18.66,0
29.6,21.700001,12.44,18.98,16.440001,0,21.5,13.92,0,19.58,10.9,15.64,13.7,20.32,19.34,24.360001,24.540001,13.102041,13.765958,21.4,18.700001,16.08,0,0,18.66,0,0
0,0,0,10.7,0,0,11.72,0,0,12.82,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0
